sex_ratio, sa2_name16, state_code, percentage_person_aged_15_64, persons_num, percentage_person_aged_0_14, females_num, sa2_main16, percentage_person_aged_65_plus, median_age, state_name, males_num
98.8,"Mount Waverley - South",2,64.3,20239,17.8,10181,212051324,17.9,38.3,"Victoria",10058
100.5,"Mulgrave",2,64.3,21035,17.5,10489,212051325,18.2,38.4,"Victoria",10546
100.0,"Oakleigh - Huntingdale",2,70.1,24068,15.7,12037,212051326,14.2,35.0,"Victoria",12031
94.4,"Wheelers Hill",2,59.6,21038,15.9,10820,212051327,24.5,44.9,"Victoria",10218
114.6,"Ardeer - Albion",2,69.2,8530,17.1,3975,213011328,13.6,34.5,"Victoria",4555
99.9,"Cairnlea",2,71.2,10643,20.8,5325,213011329,8.0,34.2,"Victoria",5318
99.9,"Keilor Downs",2,64.8,13834,17.0,6920,213011332,18.3,39.8,"Victoria",6914
102.0,"Deer Park - Derrimut",2,66.1,28920,23.5,14314,213011330,10.4,33.4,"Victoria",14606
96.0,"Delahey",2,70.8,8816,16.7,4497,213011331,12.5,36.2,"Victoria",4319
102.3,"Kings Park (Vic.)",2,64.5,14691,19.0,7262,213011333,16.5,37.4,"Victoria",7429
105.5,"St Albans - North",2,65.9,21795,17.7,10605,213011334,16.4,34.7,"Victoria",11190
96.2,"Altona North",2,62.4,15425,19.2,7863,213021343,18.4,36.8,"Victoria",7562
109.9,"St Albans - South",2,67.8,18554,16.4,8841,213011335,15.8,34.7,"Victoria",9713
101.3,"Sunshine North",2,67.7,12533,17.6,6227,213011337,14.7,34.9,"Victoria",6306
111.4,"Sunshine",2,71.4,10641,16.8,5033,213011336,11.9,33.8,"Victoria",5608
101.1,"Sydenham",2,71.7,12799,18.3,6365,213011339,10.1,34.1,"Victoria",6434
101.5,"Sunshine West",2,65.8,20267,17.6,10058,213011338,16.6,36.0,"Victoria",10209
100.8,"Taylors Lakes",2,70.7,18323,15.0,9127,213011340,14.3,42.0,"Victoria",9196
95.0,"Altona",2,63.4,14002,17.3,7179,213021341,19.3,41.6,"Victoria",6823
96.5,"Newport",2,68.8,19563,20.3,9956,213021344,10.9,37.4,"Victoria",9607
96.2,"Seabrook",2,66.9,5542,22.7,2825,213021345,10.4,36.1,"Victoria",2717
99.3,"Williamstown",2,65.3,17270,18.6,8666,213021346,16.1,42.6,"Victoria",8604
110.5,"West Footscray - Tottenham",2,73.5,12929,16.6,6143,213031351,9.8,34.2,"Victoria",6786
102.8,"Braybrook",2,73.3,20514,16.0,10113,213031347,10.6,33.0,"Victoria",10401
111.0,"Footscray",2,80.1,19148,11.0,9075,213031348,8.9,32.3,"Victoria",10073
100.5,"Maribyrnong",2,77.5,14115,13.3,7041,213031349,9.3,33.7,"Victoria",7074
101.6,"Seddon - Kingsville",2,71.6,10121,19.0,5020,213031350,9.4,35.8,"Victoria",5101
