non_sc_quals_cert1a2_level_f, mig_lvd_same_add_1_yr_ago_m, p_aged_15_yr_over_f, non_sc_quals_certtot_level_p, non_sc_quals_cert1a2_level_m, non_sc_quals_certtot_level_m, pcent_lab_force_particip_p, p_aged_15_yr_over_p, non_sc_quals_cert1a2_level_p, p_aged_15_yr_over_m, mig_lvd_same_add_1_yr_ago_f, pcent_lab_force_particip_m, pcent_employmnt_to_pop_f, non_sc_quals_adv_dip_dip_p, non_sc_quals_certtot_level_f, non_sc_quals_cert3a4_level_f, pcent_lab_force_particip_f, non_sc_quals_adv_dip_dip_m, pcent_employmnt_to_pop_m, pcent_employmnt_to_pop_p, non_sc_quals_cert3a4_level_m, non_sc_qua_gra_dip_gra_cer_m, non_sc_qua_gra_dip_gra_cer_p, non_sc_qua_gra_dip_gra_cer_f, non_sc_quals_certnfd_level_f, lab_for_st_empl_worked_ft_f, mig_lvd_same_add_1_yr_ago_p, lab_for_st_n_the_lbour_frce_m, lab_for_st_empl_worked_pt_p, lab_for_st_empl_worked_pt_m, sa4_name16, lab_for_st_n_the_lbour_frce_p, lab_for_st_n_the_lbour_frce_f, lab_for_st_empl_awy_frm_wrk_m, lab_for_st_empl_awy_frm_wrk_f, lab_for_st_empl_worked_pt_f, mig_lvd_diff_add_1_yr_ago_m, lab_for_st_empl_worked_ft_p, mig_lvd_same_add_5_yr_ago_f, lab_for_st_empl_worked_ft_m, mig_lvd_same_add_5_yr_ago_p, non_sc_quals_certnfd_level_p, mig_lvd_same_add_5_yr_ago_m, mig_lvd_diff_add_1_yr_ago_f, non_sc_quals_certnfd_level_m, lab_for_st_unemp_lkg_fr_wrk_p, lab_for_st_tot_labour_force_p, non_sc_quals_bachelor_deg_f, percent_unemployment_m, lab_for_st_unemp_lkg_fr_wrk_m, non_sc_quals_cert3a4_level_p, percent_unemployment_f, mig_lvd_diff_add_1_yr_ago_p, lab_for_st_unemp_lkg_fr_wrk_f, non_sc_quals_adv_dip_dip_f, non_sc_quals_bachelor_deg_p, lab_for_st_tot_labour_force_m, non_sc_quals_bachelor_deg_m, non_sc_quals_postgrad_deg_f, sa4_code16, lab_for_st_empl_awy_frm_wrk_p, mig_lvd_diff_add_5_yr_ago_f, lab_for_st_tot_labour_force_f, non_sc_quals_postgrad_deg_p, mig_lvd_diff_add_5_yr_ago_p, mig_lvd_diff_add_5_yr_ago_m, percent_unemployment_p, non_sc_quals_postgrad_deg_m
1723,106998,120907,52978,833,33756,59.3,231370,2560,110464,113859,64.5,51.4,24147,19219,14549,54.6,9692,60.9,56,31117,1593,4852,3258,2944,26042,220859,32792,46269,13878,"Mornington Peninsula",80559,47771,2957,3692,32383,18034,76533,75327,50490,146835,4753,71514,19127,1806,7826,137275,15772,5.6,3961,45668,5.9,37164,3866,14448,26361,71286,10585,3076,"214",6651,53138,65989,5804,101627,48494,5.7,2724
1089,56747,61396,25131,580,15755,55,121619,1662,60218,57284,59.2,48.1,8803,9376,7057,50.8,3282,55.5,51.8,14352,527,1745,1220,1239,12579,114027,19387,21463,6459,"North West",44524,25139,1883,1978,15005,8623,37640,40524,25067,81166,2054,40646,9252,820,3889,66863,6254,6.3,2247,21410,5.3,17869,1639,5523,9483,35659,3228,789,"215",3868,23175,31205,1378,44753,21574,5.8,585
826,48743,52314,22006,396,13950,55.8,102983,1224,50670,49344,60,49,7708,8049,6199,51.9,2809,56.4,52.6,12884,519,1699,1183,1030,10991,98091,16213,18315,5421,"Shepparton",37257,21040,1685,1757,12899,7641,32462,34299,21477,68560,1704,34267,8197,672,3289,57513,5177,5.9,1801,19082,5.5,15835,1491,4899,8085,30378,2904,811,"216",3438,20616,27132,1442,40036,19422,5.7,629
841,46503,49950,21583,442,13571,59,97599,1278,47651,47545,63.9,51.9,7765,8016,6113,54.3,2860,60.7,56.2,12446,544,1777,1236,1061,10176,94052,13727,20100,6134,"Warrnambool and South West",32925,19200,1634,1793,13969,6937,31340,33892,21168,67416,1743,33524,7412,684,2700,57573,5953,4.9,1490,18565,4.5,14353,1209,4904,9297,30427,3344,899,"217",3431,18724,27147,1618,36204,17483,4.7,718
1304,82960,91690,41145,734,26282,64.4,176098,2046,84405,87249,68.7,56.9,18125,14860,11202,60.4,7435,64.3,60.4,24173,1122,3279,2151,2353,25588,170213,22974,34104,10275,"Brisbane - East",55368,32396,2221,2785,23835,15954,67327,56263,41735,109802,3732,53540,17076,1377,6923,113357,13340,6.5,3781,35374,5.7,33025,3142,10698,22585,58013,9248,2810,"301",5008,44894,55351,5526,86717,41821,6.1,2715
1018,74640,87479,31254,733,19737,65.8,167266,1755,79782,79742,70.4,58,16715,11516,8775,61.6,7371,65.7,61.7,17829,1529,4060,2530,1724,26802,154386,19956,31396,10362,"Brisbane - North",49156,29201,2136,2921,21041,16340,66731,50727,39935,97610,2898,46882,17289,1178,6824,110006,17263,6.6,3722,26608,5.8,33631,3105,9345,30011,56147,12745,4116,"302",5054,43050,53860,8074,83539,40488,6.2,3958
1457,121107,142085,39751,983,25091,64.8,276403,2444,134316,126705,69.4,56.1,25606,14657,10662,60.4,11693,64.1,60,22431,2695,7215,4527,2543,40538,247811,34385,55370,20580,"Brisbane - South",83829,49443,3281,4317,34787,31117,102733,79092,62188,153438,4208,74347,32005,1670,13440,179142,33244,7.7,7221,33095,7.2,63117,6224,13914,60458,93271,27214,10775,"303",7604,73770,85871,21889,145590,71822,7.5,11113
701,65204,74224,18199,451,11092,65.4,142138,1149,67912,69182,69.9,57.1,13508,7104,5108,61.3,6004,64.8,60.8,9828,1822,4961,3133,1296,19979,134384,18098,30042,9861,"Brisbane - West",43806,25706,1645,2264,20175,14967,52501,44328,32519,85665,2109,41341,15628,810,6544,92993,19403,7.3,3471,14939,6.7,30598,3070,7501,35583,47499,16182,6669,"304",3906,37865,45492,14667,74045,36176,7,7999
877,79871,111197,24844,664,15431,68.2,220265,1545,109066,80829,71,61.5,19079,9413,6938,65.4,8948,66.4,63.9,13568,2950,7684,4734,1591,38279,160698,21261,42516,15923,"Brisbane Inner City",50040,28784,2609,3486,26594,31876,92188,44223,53903,86912,2796,42693,32948,1201,9368,150164,31948,6.5,5033,20502,6,64820,4334,10134,60257,77470,28315,10424,"305",6088,67302,72688,21258,133803,66502,6.2,10829
1694,91178,107502,46626,1086,30101,57.1,210322,2787,102825,92756,59.6,50.9,17932,16521,12340,54.7,7250,54.5,52.7,27404,1073,3312,2236,2488,26744,183932,30227,36139,12013,"Cairns",67559,37329,3819,3901,24126,20185,66945,59280,40197,118439,4098,59164,21714,1608,9253,120052,14086,8.5,5216,39747,6.9,41896,4040,10684,22767,61240,8680,2768,"306",7716,50507,58811,5126,97589,47084,7.7,2366
920,49047,50372,22466,572,14329,57.6,103392,1500,53018,46809,62.1,49.9,7283,8135,6052,52.9,2947,58.8,54.5,12899,313,1025,709,1169,12045,95859,14295,16410,4948,"Darling Downs - Maranoa",33664,19370,1739,1649,11463,9091,36547,31045,24502,63902,2014,32855,9379,851,3214,59558,5271,5.3,1740,18949,5.5,18473,1474,4340,8072,32929,2804,618,"307",3384,22122,26629,1156,44194,22074,5.4,540
