hi300_399_hhd_with_indig_psns, hi2000_2499_hh_with_indig_psn, hi150_299_other_households, tot_other_households, hi1250_1499_hh_with_indig_psn, hi1_149_hhd_with_indig_psns, hi500_649_tot_hhlds, tot_tot_hhlds, hi300_399_other_households, hi1000_1249_other_households, hi1500_1999_tot_hhlds, hi150_299_hhd_with_indig_psns, hi500_649_hhd_with_indig_psns, hi1500_1999_hh_with_indig_psn, hi1250_1499_other_households, hi3000_more_tot_hhlds, hi500_649_other_households, hi650_799_tot_hhlds, hi1_149_tot_hhlds, hi1250_1499_tot_hhlds, hi800_999_other_households, hi650_799_other_households, hi2500_2999_hh_with_indig_psn, hi1000_1249_hh_with_indig_psn, hi400_499_hhd_with_indig_psns, sa4_name16, hi650_799_hhd_with_indig_psns, hi2000_2499_other_households, hi1500_1999_other_households, partial_inc_stated_other_hhds, hi2500_2999_other_households, hi400_499_tot_hhlds, hi300_399_tot_hhlds, hi800_999_tot_hhlds, hi2500_2999_tot_hhlds, hi400_499_other_households, partial_inc_stated_tot_hhlds, hi3000_more_hh_with_indig_psn, hi1_149_other_households, all_inc_ns_hh_with_ind_psns, all_inc_ns_tot_hhlds, tot_household_with_indig_psns, hi150_299_tot_hhlds, sa4_code16, part_inc_st_hh_with_indig_psn, hi1000_1249_tot_hhlds, neg_nil_inc_hh_with_ind_psns, hi3000_more_other_households, neg_nil_inc_other_households, hi2000_2499_tot_hhlds, all_income_ns_other_household, neg_nil_income_tot_hhlds, hi800_999_hh_with_indig_psn
53,93,1293,56381,120,14,3174,57513,1980,5242,6607,48,79,108,4575,4556,3096,5204,496,4695,4617,5095,43,104,74,"Bendigo",112,5110,6495,3877,2929,4911,2035,4698,2974,4834,3969,57,479,39,1682,1133,1336,"202",91,5347,15,4503,609,5203,1642,624,85
50,126,2189,101273,106,21,5284,102631,3176,8752,12043,38,94,132,7747,10737,5191,8140,781,7851,7331,8055,92,120,99,"Geelong",84,10306,11911,7284,6169,7804,3224,7422,6258,7706,7405,106,760,48,2876,1361,2229,"203",119,8870,28,10628,1239,10426,2833,1260,94
47,107,1470,62771,95,21,3597,64101,2341,5757,7229,53,97,161,5049,4309,3500,5924,529,5142,5159,5808,54,136,90,"Hume",120,5549,7067,4556,3261,5657,2389,5260,3319,5565,4664,53,508,57,2220,1322,1524,"204",107,5895,19,4254,757,5659,2166,770,101
92,114,2810,101465,184,22,6115,103488,4103,9208,10870,89,133,194,7572,7333,5985,10216,1021,7758,8304,10018,68,199,149,"Latrobe - Gippsland",198,8070,10672,7202,4424,10039,4188,8465,4490,9891,7375,105,1003,100,3664,2022,2897,"205",172,9406,33,7225,1424,8186,3564,1460,168
63,176,5969,245276,105,12,8045,246911,6666,16301,27687,62,56,166,15559,53237,7983,10934,2687,15667,12369,10848,117,118,73,"Melbourne - Inner",83,27383,27521,18019,15102,10697,6730,12467,15225,10628,18143,287,2673,57,4312,1633,6028,"206",122,16426,30,52952,11049,27557,4251,11078,97
6,40,2406,127917,24,5,4848,128334,2724,8581,12983,13,13,59,7839,30630,4839,6575,1306,7863,6780,6553,24,25,26,"Melbourne - Inner East",17,12610,12926,10601,8138,5922,2729,6797,8161,5898,10627,89,1300,12,2326,412,2418,"207",32,8604,8,30538,3886,12646,2315,3897,15
19,59,2493,149116,40,8,5637,149732,3415,10000,15621,19,21,71,9197,35596,5614,7704,1213,9237,7903,7669,40,41,16,"Melbourne - Inner South",30,15357,15551,11399,10059,7601,3433,7938,10096,7582,11448,140,1208,15,3339,622,2510,"208",50,10037,20,35454,2893,15414,3323,2910,34
70,181,3025,166868,134,23,6282,168667,3905,13432,21359,43,88,249,12683,23590,6196,11225,1245,12820,10574,11117,119,137,101,"Melbourne - North East",111,19355,21111,12735,12502,9335,3975,10689,12620,9233,12867,200,1224,78,3772,1801,3071,"209",135,13577,29,23392,2680,19535,3702,2713,117
38,125,2272,117488,98,9,4745,118615,2931,10013,14704,27,50,150,9110,14506,4696,8464,916,9210,8053,8380,72,92,47,"Melbourne - North West",86,12877,14554,9090,8053,7250,2964,8125,8116,7205,9199,122,907,36,3089,1131,2297,"210",109,10099,13,14382,1914,13004,3050,1927,67
44,158,2692,173788,134,8,7085,175298,3738,14045,21765,34,64,208,12884,25425,7019,11112,1138,13016,11315,11011,94,113,77,"Melbourne - Outer East",98,20372,21559,13245,13772,9641,3784,11414,13865,9559,13382,177,1130,55,3979,1508,2727,"211",129,14162,19,25247,2266,20531,3929,2280,103
